time_s,state,joint_action_id,joint_action,throughput_mbps,collision_rate,efficiency,delivered_packets,failed_attempts
19,s_congested,14,a_cons-a_cons-a_cons-a_aggr,21.823488,0.2427515633882888,17.56062003293687,2664,854
20,s_congested,11,a_cons-a_aggr-a_cons-a_cons,21.856256,0.2439784641541513,17.569641782232345,2668,861
21,s_congested,6,a_aggr-a_cons-a_cons-a_aggr,21.856256,0.2889125799573561,16.957128311000826,2668,1084
22,s_congested,7,a_aggr-a_cons-a_cons-a_cons,21.823488,0.2491544532130778,17.4706081732852,2664,884
23,s_congested,13,a_cons-a_cons-a_aggr-a_cons,21.856256,0.2564102564102564,17.395795591836734,2668,920
24,s_congested,11,a_cons-a_aggr-a_cons-a_cons,21.856256,0.2315668202764977,17.746707397567818,2668,804
25,s_idle,0,a_aggr-a_aggr-a_aggr-a_aggr,21.823488,0.3888506538196834,15.713343936570864,2664,1695
26,s_congested,13,a_cons-a_cons-a_aggr-a_cons,21.856256,0.23706033743208466,17.667898111881644,2668,829
27,s_idle,0,a_aggr-a_aggr-a_aggr-a_aggr,21.839872,0.3704840613931523,15.935881791867676,2666,1569
28,s_congested,11,a_cons-a_aggr-a_cons-a_cons,21.823488,0.24296675191815856,17.55757985185185,2664,855
29,s_congested,6,a_aggr-a_cons-a_cons-a_aggr,21.856256,0.2999212805038048,16.813522732337503,2668,1143
30,s_congested,11,a_cons-a_aggr-a_cons-a_cons,21.856256,0.24950773558368494,17.491893309320123,2668,887
31,s_congested,7,a_aggr-a_cons-a_cons-a_cons,21.823488,0.24404086265607264,17.542420554744528,2664,860
32,s_congested,14,a_cons-a_cons-a_cons-a_aggr,21.856256,0.2394526795895097,17.63379623919043,2668,840
33,s_idle,0,a_aggr-a_aggr-a_aggr-a_aggr,21.848064,0.3762862488306829,15.87465108988955,2667,1609
34,s_congested,14,a_cons-a_cons-a_cons-a_aggr,21.823488,0.24361158432708688,17.548475967123288,2664,858
35,s_congested,5,a_aggr-a_cons-a_aggr-a_cons,21.856256,0.2923076923076923,16.912579047619044,2668,1102
36,s_congested,7,a_aggr-a_cons-a_cons-a_cons,21.856256,0.24462061155152887,17.56057693175614,2668,864
37,s_congested,13,a_cons-a_cons-a_aggr-a_cons,21.823488,0.24830699774266365,17.48246868716094,2664,880
38,s_congested,7,a_aggr-a_cons-a_cons-a_cons,21.856256,0.2706396938217605,17.200986327022374,2668,990
39,s_congested,11,a_cons-a_aggr-a_cons-a_cons,21.856256,0.25161290322580643,17.462472577319588,2668,897
40,s_congested,11,a_cons-a_aggr-a_cons-a_cons,21.823488,0.24188958451906659,17.572808623281396,2664,850
41,s_congested,12,a_cons-a_cons-a_aggr-a_aggr,21.856256,0.28529332976158583,17.004877792413506,2668,1065
42,s_congested,9,a_cons-a_aggr-a_aggr-a_cons,21.856256,0.29305776364599895,16.902768472131147,2668,1106
43,s_congested,11,a_cons-a_aggr-a_cons-a_cons,21.823488,0.24575311438278596,17.518309003636364,2664,868
44,s_congested,7,a_aggr-a_cons-a_cons-a_cons,21.856256,0.24696584815128422,17.527549798098686,2668,875
45,s_congested,14,a_cons-a_cons-a_cons-a_aggr,21.856256,0.2478150549760361,17.515621335743333,2668,879
46,s_congested,3,a_aggr-a_aggr-a_cons-a_cons,21.823488,0.2848322147651007,16.985476974508988,2664,1061
47,s_congested,7,a_aggr-a_cons-a_cons-a_cons,21.856256,0.25203252032520324,17.45662005194805,2668,899
48,s_congested,14,a_cons-a_cons-a_cons-a_aggr,21.856256,0.23858447488584475,17.64615691797235,2668,836
49,s_idle,0,a_aggr-a_aggr-a_aggr-a_aggr,21.815296,0.36184998801821233,16.018868591940876,2663,1510
50,s_congested,13,a_cons-a_cons-a_aggr-a_cons,21.856256,0.23640526617057814,17.677258903703702,2668,826
