Time_s,Throughput_Mbps,CollisionRate,State
23.3,21.6269,0.189274,s_congested
23.4,22.0365,0.183432,s_congested
23.5,21.8726,0.217009,s_congested
23.6,21.7907,0.152866,s_congested
23.7,21.7907,0.155556,s_congested
23.8,21.8726,0.152381,s_congested
23.9,21.7907,0.131148,s_congested
24,21.8726,0.0884354,s_idle
24.1,21.9546,0.141026,s_congested
24.2,21.7907,0.176471,s_congested
24.3,21.7907,0.0827586,s_idle
24.4,21.8726,0.219298,s_congested
24.5,21.8726,0.163009,s_congested
24.6,21.8726,0.130293,s_congested
24.7,21.9546,0.0949153,s_idle
24.8,21.7088,0.163522,s_congested
24.9,21.463,0.267806,s_congested
25,22.2822,0.120635,s_congested
25.1,21.6269,0.134426,s_congested
25.2,21.7907,0.133987,s_congested
25.3,22.0365,0.0939597,s_idle
25.4,21.463,0.133333,s_congested
25.5,22.2003,0.116505,s_idle
25.6,21.6269,0.165079,s_congested
25.7,21.463,0.146104,s_congested
25.8,22.4461,0.135647,s_congested
25.9,21.7907,0.346437,s_congested
26,22.0365,0.151899,s_congested
26.1,21.7907,0.112957,s_idle
26.2,21.7907,0.163522,s_congested
26.3,21.8726,0.107023,s_idle
26.4,21.9546,0.165625,s_congested
26.5,21.7088,0.0952381,s_idle
26.6,21.8726,0.367299,s_congested
26.7,21.8726,0.0464286,s_idle
26.8,21.7088,0.208955,s_congested
26.9,22.0365,0.174847,s_congested
27,21.8726,0.112957,s_idle
27.1,21.463,0.247126,s_congested
27.2,22.0365,0.265928,s_congested
27.3,21.7907,0.131833,s_congested
27.4,21.9546,0.214076,s_congested
27.5,21.7907,0.152866,s_congested
27.6,21.8726,0.130293,s_congested
27.7,21.8726,0.239316,s_congested
27.8,21.8726,0.0761246,s_idle
27.9,21.7907,0.144695,s_congested
28,21.9546,0.0394265,s_idle
28.1,21.7088,0.182663,s_congested
28.2,21.9546,0.121311,s_congested
28.3,21.7088,0.22449,s_congested
28.4,21.9546,0.22093,s_congested
28.5,21.9546,0.112957,s_idle
28.6,21.7907,0.252809,s_congested
28.7,21.8726,0.192771,s_congested
28.8,21.8726,0.127869,s_congested
28.9,21.7088,0.184615,s_congested
29,20.7258,0.287324,s_congested
29.1,22.6918,0.227778,s_congested
29.2,22.0365,0.15674,s_congested
29.3,21.7907,0.122112,s_congested
29.4,22.0365,0.106312,s_idle
29.5,21.3811,0.152597,s_congested
29.6,21.7088,0.265928,s_congested
29.7,22.2003,0.195846,s_congested
29.8,21.545,0.20122,s_congested
29.9,21.9546,0.172308,s_congested
30,21.8726,0.107023,s_idle
30.1,22.1184,0.274194,s_congested
30.2,21.7907,0.286863,s_congested
30.3,22.1184,0.164596,s_congested
30.4,21.545,0.268698,s_congested
30.5,21.8726,0.237143,s_congested
30.6,22.0365,0.152381,s_congested
30.7,21.7907,0.242938,s_congested
30.8,21.9546,0.12987,s_congested
30.9,21.7088,0.15655,s_congested
31,21.9546,0.229226,s_congested
31.1,21.7907,0.130719,s_congested
31.2,21.7907,0.219941,s_congested
31.3,21.8726,0.163009,s_congested
31.4,21.7907,0.155556,s_congested
31.5,21.8726,0.25,s_congested
31.6,21.9546,0.136364,s_congested
31.7,21.7907,0.180982,s_congested
31.8,21.6269,0.2,s_congested
31.9,21.8726,0.180428,s_congested
32,21.9546,0.149206,s_congested
32.1,21.7088,0.177019,s_congested
32.2,22.1184,0.18429,s_congested
32.3,21.6269,0.239193,s_congested
32.4,21.9546,0.182927,s_congested
32.5,21.9546,0.056338,s_idle
32.6,21.7088,0.208955,s_congested
32.7,21.8726,0.141479,s_congested
32.8,21.9546,0.0758621,s_idle
32.9,21.7088,0.257703,s_congested
33,21.7088,0.184615,s_congested
33.1,22.0365,0.12945,s_congested
33.2,21.2173,0.184953,s_congested
33.3,22.528,0.130159,s_congested
33.4,21.7907,0.181538,s_congested
33.5,21.7088,0.171875,s_congested
33.6,20.8077,0.222222,s_congested
33.7,23.0195,0.165192,s_congested
33.8,21.7907,0.148867,s_congested
33.9,21.8726,0.1,s_idle
34,21.7088,0.194529,s_congested
34.1,21.7088,0.0766551,s_idle
34.2,21.7088,0.182099,s_congested
34.3,22.1184,0.131833,s_congested
34.4,22.0365,0.167183,s_congested
34.5,21.545,0.179245,s_congested
34.6,21.9546,0.19403,s_congested
34.7,22.0365,0.140575,s_congested
34.8,21.8726,0.304688,s_congested
34.9,21.545,0.242075,s_congested
35,21.9546,0.212389,s_congested
35.1,22.0365,0.260274,s_congested
35.2,21.7088,0.17757,s_congested
35.3,21.7907,0.173913,s_congested
35.4,22.0365,0.111842,s_idle
35.5,20.6438,0.283237,s_congested
35.6,23.1014,0.151786,s_congested
35.7,21.6269,0.290323,s_congested
35.8,21.7907,0.295515,s_congested
35.9,21.9546,0.159875,s_congested
36,22.0365,0.169753,s_congested
36.1,21.7088,0.125413,s_congested
36.2,21.9546,0.132686,s_congested
36.3,21.7907,0.166144,s_congested
36.4,21.8726,0.157729,s_congested
36.5,21.8726,0.185976,s_congested
36.6,20.48,0.326146,s_congested
36.7,23.1014,0.255937,s_congested
36.8,21.9546,0.103679,s_idle
36.9,21.7907,0.305483,s_congested
37,21.7907,0.0859107,s_idle
37.1,21.9546,0.180982,s_congested
37.2,21.7907,0.125,s_congested
37.3,21.8726,0.159875,s_congested
37.4,21.8726,0.0631579,s_idle
37.5,21.6269,0.15655,s_congested
37.6,21.9546,0.112583,s_idle
37.7,21.8726,0.207715,s_congested
37.8,21.8726,0.121711,s_congested
37.9,21.8726,0.0824742,s_idle
38,21.2992,0.285714,s_congested
38.1,22.2003,0.112583,s_idle
38.2,21.463,0.269444,s_congested
38.3,22.2003,0.130573,s_congested
38.4,21.7088,0.0893471,s_idle
38.5,21.6269,0.293011,s_congested
38.6,22.3642,0.0866667,s_idle
38.7,21.6269,0.17757,s_congested
38.8,21.8726,0.142395,s_congested
38.9,21.8726,0.192192,s_congested
39,22.0365,0.192192,s_congested
39.1,21.7907,0.286863,s_congested
39.2,21.463,0.282967,s_congested
39.3,22.1184,0.215116,s_congested
39.4,22.0365,0.211144,s_congested
39.5,21.7907,0.118812,s_idle
39.6,21.463,0.324742,s_congested
39.7,22.2003,0.0875421,s_idle
39.8,21.8726,0.221574,s_congested
39.9,21.8726,0.144231,s_congested
40,21.545,0.200608,s_congested
40.1,21.9546,0.216374,s_congested
40.2,21.9546,0.27957,s_congested
40.3,21.8726,0.183486,s_congested
40.4,21.9546,0.118421,s_idle
40.5,21.7907,0.24,s_congested
40.6,21.545,0.291105,s_congested
40.7,22.2003,0.10299,s_idle
40.8,21.7088,0.17134,s_congested
40.9,21.7907,0.158228,s_congested
41,21.9546,0.144231,s_congested
41.1,21.9546,0.0561404,s_idle
41.2,21.7088,0.156051,s_congested
41.3,21.3811,0.206687,s_congested
41.4,22.3642,0.107843,s_idle
41.5,21.8726,0.158228,s_congested
41.6,21.545,0.272727,s_congested
41.7,21.8726,0.293651,s_congested
41.8,21.8726,0.200599,s_congested
41.9,21.7088,0.221239,s_congested
42,22.1184,0.125806,s_congested
42.1,21.9546,0.0629371,s_idle
42.2,21.463,0.286104,s_congested
42.3,22.0365,0.140575,s_congested
42.4,21.8726,0.11,s_idle
42.5,21.7907,0.181538,s_congested
42.6,21.6269,0.108108,s_idle
42.7,21.9546,0.151899,s_congested
42.8,21.7907,0.141935,s_congested
42.9,22.0365,0.172308,s_congested
43,21.9546,0.292876,s_congested
43.1,21.463,0.315927,s_congested
43.2,22.2003,0.28,s_congested
43.3,21.9546,0.189759,s_congested
43.4,21.7088,0.113712,s_idle
43.5,21.9546,0.157233,s_congested
43.6,21.6269,0.108108,s_idle
43.7,21.8726,0.150641,s_congested
43.8,22.0365,0.160991,s_congested
43.9,21.545,0.134868,s_congested
44,22.0365,0.179878,s_congested
44.1,21.7907,0.184049,s_congested
44.2,21.8726,0.25419,s_congested
44.3,21.8726,0.260388,s_congested
44.4,21.8726,0.168224,s_congested
44.5,21.9546,0.157233,s_congested
44.6,21.463,0.173502,s_congested
44.7,22.1184,0.224784,s_congested
44.8,21.7088,0.215339,s_congested
44.9,22.1184,0.229226,s_congested
45,21.7907,0.112957,s_idle
45.1,21.8726,0.13871,s_congested
45.2,21.7088,0.125413,s_congested
45.3,21.9546,0.149682,s_congested
45.4,21.7088,0.141935,s_congested
45.5,21.9546,0.154574,s_congested
45.6,21.3811,0.305851,s_congested
45.7,22.2822,0.18806,s_congested
45.8,21.9546,0.106667,s_idle
45.9,21.8726,0.0949153,s_idle
46,21.463,0.222552,s_congested
46.1,21.7088,0.21148,s_congested
46.2,22.0365,0.144201,s_congested
46.3,22.1184,0.0939597,s_idle
46.4,21.6269,0.267409,s_congested
46.5,21.7907,0.141479,s_congested
46.6,21.8726,0.11,s_idle
46.7,21.8726,0.183486,s_congested
46.8,21.463,0.170886,s_congested
46.9,22.1184,0.114754,s_idle
47,21.7088,0.239193,s_congested
47.1,22.1184,0.142405,s_congested
47.2,22.0365,0.135048,s_congested
47.3,21.8726,0.141935,s_congested
47.4,21.463,0.165079,s_congested
47.5,22.0365,0.301299,s_congested
47.6,21.9546,0.157233,s_congested
47.7,21.8726,0.22449,s_congested
47.8,21.8726,0.273713,s_congested
47.9,21.8726,0.0565371,s_idle
48,21.7907,0.17134,s_congested
48.1,21.7907,0.139159,s_congested
48.2,21.6269,0.205438,s_congested
48.3,22.1184,0.245125,s_congested
48.4,21.7088,0.128289,s_congested
48.5,22.0365,0.112211,s_idle
48.6,21.6269,0.216617,s_congested
48.7,22.0365,0.148734,s_congested
48.8,21.8726,0.173375,s_congested
48.9,21.7907,0.179567,s_congested
49,21.7088,0.116279,s_idle
49.1,21.7907,0.15016,s_congested
49.2,21.9546,0.0976431,s_idle
49.3,21.6269,0.251412,s_congested
49.4,21.8726,0.207207,s_congested
49.5,22.1184,0.048951,s_idle
49.6,21.8726,0.268493,s_congested
49.7,21.7907,0.0666667,s_idle
49.8,21.9546,0.18845,s_congested
49.9,21.545,0.125828,s_congested
50,21.9546,0.0915254,s_idle
